Time,aMag,gMag,ang,bpm,but
1719605214,9.805941450040693,569.4710925232553,110.56168829610985,71.42294395789635,2
1719605219,2.881457309434483,376.0506834091021,112.92399318166454,72.35665503986829,2
1719605224,5.387914281689326,371.2243164029783,11.340702660679332,97.75712986684229,0
1719605230,10.820095736202784,309.44472175468354,106.56657940910569,74.88046421984006,1
1719605235,6.9929732736066175,653.7640395694184,24.395568799900605,72.82749652393214,2
1719605240,9.09242670635485,477.80861198736585,131.66794007392193,61.89020885379205,1
1719605245,9.523426970013487,460.99556039541875,118.78002341890745,94.26398390301856,1
1719605251,4.159487923046246,566.9418458248514,29.483024606352078,98.34638454952409,2
1719605256,10.200927871163392,485.63960200932576,147.59881934697117,67.90707100757794,2
1719605261,6.396881096446607,659.99740937386,35.71998111985311,80.07658597588626,2
1719605267,10.746354904650916,540.3502935249742,103.93744441573492,96.62898357844126,0
1719605272,11.786832418037529,219.3116967905228,17.06454273225236,67.36879391938513,0
